term	segment_card_count	segment_card_hits	clean_segment_count	clean_text_hits	top_clean_rows
主体	117	534	299	5437	262:3-4-2-1:130; 276:4:111; 139:2-2-4:103; 263:3-4-2-2:88; 258:3-4-1-2:88; 252:3-3-4-3:87; 214:3-2-1-2:85; 193:3-1-1-3:79
客体	31	58	122	655	139:2-2-4:54; 276:4:38; 277:4-1:33; 229:3-2-4-2:29; 280:4-1-1-1:28; 214:3-2-1-2:26; 284:4-1-2:23; 85:1-4-2-4:20
实体	41	140	141	1109	146:2-3-1:86; 149:2-3-1-3:71; 214:3-2-1-2:48; 100:2-1-1-2:46; 140:2-2-4-1:45; 145:2-3:44; 155:2-3-2-4:38; 135:2-2-3-1:35
物质	39	83	176	1000	280:4-1-1-1:45; 170:2-4-1-3:43; 175:2-4-2-3:41; 363:4-4-4-4:32; 298:4-1-4-4:32; 222:3-2-3:27; 276:4:26; 168:2-4-1-1:26
历史	121	407	263	2554	271:3-4-4:84; 321:4-3:79; 279:4-1-1:78; 295:4-1-4-1:75; 277:4-1:71; 289:4-1-3:70; 276:4:66; 315:4-2-3-4:52
人民	10	31	91	360	315:4-2-3-4:19; 299:4-2:17; 323:4-3-1-1:13; 321:4-3:12; 276:4:12; 313:4-2-3-2:11; 335:4-3-3-3:10; 283:4-1-1-4:10
理论	59	196	228	2163	285:4-1-2-1:113; 284:4-1-2:111; 277:4-1:111; 282:4-1-1-3:86; 276:4:80; 290:4-1-3-1:61; 289:4-1-3:60; 283:4-1-1-4:52
理论家	11	47	52	624	277:4-1:69; 284:4-1-2:54; 289:4-1-3:44; 283:4-1-1-4:39; 282:4-1-1-3:39; 288:4-1-2-4:34; 281:4-1-1-2:34; 278:4-1:31
实践	117	608	217	1290	276:4:32; 290:4-1-3-1:29; 331:4-3-2-4:27; 279:4-1-1:26; 341:4-3-4-4:25; 337:4-3-4:25; 237:3-3-1-3:24; 334:4-3-3-2:23
实践单元	6	12	64	178	276:4:13; 323:4-3-1-1:10; 290:4-1-3-1:10; 306:4-2-2:6; 293:4-1-3-4:6; 280:4-1-1-1:6; 309:4-2-2-3:5; 285:4-1-2-1:5
场	109	386	354	3214	97:2-1:78; 1:1:78; 208:3-1-4-3:54; 8:1-1-1-4:51; 96:2:49; 280:4-1-1-1:46; 46:1-3:39; 270:3-4-3-4:34
符号	151	738	296	4741	216:3-2-1-4:136; 254:3-4:115; 255:3-4:94; 266:3-4-3:91; 140:2-2-4-1:88; 185:2-4-4-3:86; 256:3-4-1:82; 258:3-4-1-2:68
符号秩序	93	375	23	47	96:2:12; 245:3-3-3-1:3; 64:1-3-4-2:3; 268:3-4-3-2:2; 236:3-3-1-2:2; 185:2-4-4-3:2; 127:None:2; 108:2-1-3:2
本体论	89	338	359	4136	271:3-4-4:80; 267:3-4-3-1:75; 263:3-4-2-2:62; 245:3-3-3-1:58; 238:3-3-1-4:57; 125:2-2-2:50; 255:3-4:49; 76:1-4-1:46
认识论	59	165	345	1901	63:1-3-4-1:31; 285:4-1-2-1:27; 46:1-3:27; 261:3-4-2:25; 9:1-1-2:25; 227:3-2-4:24; 145:2-3:24; 18:1-1-3-4:20
目的论	42	96	306	1394	46:1-3:31; 106:2-1-2-3:19; 115:2-1-4-2:18; 95:1-4-4-4:17; 56:1-3-2-4:16; 58:1-3-3-1:14; 48:1-3-1-1:14; 40:1-2-3-4:14
意识形态	78	347	209	1471	295:4-1-4-1:88; 231:3-2-4-4:58; 54:1-3-2-2:49; 334:4-3-3-2:38; 291:4-1-3-2:38; 185:2-4-4-3:32; 32:1-2-2-1:32; 166:2-4:31
去主体化	4	10	42	116	139:2-2-4:19; 131:2-2-2-2:6; 41:1-2-4:6; 275:3-4-4-4:5; 206:3-1-4-1:5; 140:2-2-4-1:5; 316:4-2-4:4; 276:4:4
主体化	31	54	124	603	139:2-2-4:42; 263:3-4-2-2:20; 276:4:18; 289:4-1-3:17; 236:3-3-1-2:16; 218:3-2-2-1:15; 41:1-2-4:15; 230:3-2-4-3:14
客体化	12	15	43	126	139:2-2-4:20; 284:4-1-2:19; 276:4:10; 353:4-4-2-4:7; 289:4-1-3:7; 193:3-1-1-3:5; 208:3-1-4-3:4; 187:3:4
中介	58	144	191	1572	240:3-3-2-1:139; 244:3-3-3:127; 246:3-3-3-2:103; 245:3-3-3-1:68; 211:3-2:49; 236:3-3-1-2:45; 276:4:42; 232:3-3:38
跃迁	0	0	8	10	123:2-2-1-3:2; 122:2-2-1-2:2; 294:4-1-4:1; 271:3-4-4:1; 187:3:1; 165:2-3-4-4:1; 157:2-3-3-1:1; 133:2-2-2-4:1
误认	0	0	14	28	258:3-4-1-2:11; 261:3-4-2:3; 249:3-3-4:2; 85:1-4-2-4:2; 291:4-1-3-2:1; 262:3-4-2-1:1; 259:3-4-1-3:1; 225:3-2-3-3:1
闭合	9	24	103	494	185:2-4-4-3:31; 155:2-3-2-4:25; 125:2-2-2:25; 103:2-1-2:20; 238:3-3-1-4:18; 228:3-2-4-1:17; 18:1-1-3-4:16; 235:3-3-1-1:12
有限性	2	3	62	212	216:3-2-1-4:14; 155:2-3-2-4:14; 246:3-3-3-2:12; 244:3-3-3:10; 276:4:9; 187:3:8; 38:1-2-3-2:8; 247:3-3-3-3:7
